,context,abbreviation,description,entity,human,location,numeric
2422,"The CPU is an Intel 8088, a cost-reduced form of the Intel 8086 which largely retains the 8086's internal 16-bit logic, but exposes only an 8-bit bus. $^{[51]}$ The CPU is clocked at 4.77 MHz, which would eventually become an issue when clones and later PC models offered higher CPU speeds that broke compatibility with software developed for the original PC. $^{[52]}$ The single base clock frequency for the system was 14.31818 MHz, which when divided by 3, yielded the 4.77 MHz for the CPU (which was considered close",abbreviation,description,entity,not_human,not_location,numeric
2432,"Some of Autodesk's 'retired ' products are listed here:
Lightscape 3.2 Was the world's only radiosity rendering package at the time (1991) developed from work done by Donald Greenberg at the Cornell University Department of Computer Graphics. The problem with this part of Autodesk's history is that it was a time of discovery in computer graphics, and Cornell was one of the birthplaces for the technology. In this sense Lightscape was more than just another product, it was an essential part of the development of rendering technology generally, and part of its evolution. Additionally, the software came from a university research department and represented the start of a development cycle that users the world over were watching closely. Regardless, Autodesk purchased rights to the software and promptly discontinued its sale. A primitive version of the radiosity renderer was incorporated into the companies 3d Studio Max product, while existing Lightscape customers and the product were simply dropped.
Volo View was a web-enabled review and markup tool from Autodesk for engineering data, including support for Autodesk's DWG, DXF, and DWF formats. Volo View enabled design teams to communicate ideas and review designs without access to AutoCAD software. Autodesk discontinued sales of Volo View on May 1, 2005. The latest version of the software, Volo View 3, worked with the following file formats: AutoCAD 2004, DWG and DXF; Design Web Format (DWF 6); Autodesk Inventor 7 IPT, IAM, and IDW and raster files. The functionality of this product is largely replaced by Autodesk DWF Composer (versions 1 and 2) later replaced by the free Autodesk Design Review. Autodesk has also released a free product called DWG TrueView. This product enables users to view and plot AutoCAD DWG and DXF files, and to publish these same files to the DWF file format.
Autodesk Animator Pro (DOS) and Autodesk Animator Studio (Windows) were products designed for cel-based animation produced between the early-to-mid-1990s. At the time Autodesk was also advertising an Autodesk Media product similar in description to Macromedia Director but this product was never released to the public.
Cyberspace by Autodesk was an early real-time 3D environment capable of producing basic phong shaded walkthroughs of DXF format models in 'realtime '. No textures were supported, and the system was able to support a maximum DXF model size of around 35 KB. A popular demo model of the Parthenon in Greece was shown around the United States in a tour of the portable demo system-complete with virtual reality goggles.
CAD Camera
AutoSketch
AutoShade
AutoCAD Survey (Autodesk Survey)
Civil Design
AutoCAD Civil 3D Land Desktop Companion (AutoCAD Land Desktop)
Autodesk Mechanical Desktop
AutoCAD Freestyle, released on April 26, 2010, and discontinued January 31, 2011.
Autodesk Fluid FX
Autodesk Time FX
Inventor Fusion was discontinued August 23, 2014 due to redundancies with Fusion 360. [111]
Sketchbook designer has been discontinued as of November 1, 2012 [112]
Softimage was discontinued after the release of Softimage 2015 on April 14, 2014.
Face Robot
Lagoa Multiphysics
Autodesk Stitcher Unlimited
Autodesk ImageModeler
Autodesk Movimento (formerly Realviz Movimento)
Autodesk Combustion
Discreet Effect (formerly Illuminaire Composition)
Discreet Paint (formerly Illuminaire Paint)
Cleaner Streaming Studio
Cleaner Live
Cleaner
Cinestream (formerly EditDV)
3D software for game modification
gmax
Maya PLE [113]
XSI Mod Tool
Autodesk Topobase Client-its feature was merged into AutoCAD Map 3D. [114]
Autodesk Topobase Web-its feature was merged into Autodesk Infrastructure Map Server. [114]
Autodesk Opticore Realizer (formerly Opus Realizer)
Autodesk Opticore Studio (formerly Opus Studio)
Autodesk AutoCAD ecscad-the product was replaced by AutoCAD Electrical. [115]
Autodesk Smoke Advanced [116]
Autodesk Flint [116]
Autodesk Inferno [116]
AutoCAD Structural Detailing [117]
tsElements for SolidWorks [118]
FBX Converter
FBX QuickTime Viewer
Autodesk Scaleform Unity Integration [119]
Revit variants
Autodesk Revit Architecture-its features were merged into Revit itself. [120]
Autodesk Revit Structure-its features were merged into Revit itself. [120]
Autodesk Revit MEP-its features were merged into Revit itself. [120]
Autodesk Ecotect Analysis [121]
Buzzsaw $^{[122]}$-the service was replaced by BIM 360 Docs.[122]
Mockup 360 $^{[123]}$-the tool was replaced by A360 Viewer.[123]
Autodesk Remote [124]
Inventor Engineer-to-Order [125]
Autodesk Advance Concrete [126]
Autodesk Quantity Takeoff-some features of the product were merged into Autodesk Navisworks Simulate. [127]
Autodesk 123D
Autodesk 3D Print Utility-its features were merged into the Meshmixer. [128]
Autodesk 123D CNC Utility
Autodesk 123D Sculpt+ (formerly 123D Sculpt and Sculpt 123D)
Autodesk 123D Make-its slice feature was introduced in 'Slicer for Fusion 360 ' addin. [129][130]
Autodesk 123D Catch (formerly Project Photofly)
Autodesk 123D Circuits (a.k.a. Circuits.io)-its 'Electronics Lab ' feature was merged into Tinkercad. [131][132][133]
Tinkerplay (formerly Modio)
Autodesk plugins for Rhino [134]
Autodesk T-Splines Plug-in for Rhino [135]
Autodesk Shape Modeling Plug-in for Rhino $^{[135]}$ (formerly VSR Shape Modeling)
Autodesk Realtime Renderer $^{[135]}$ (formerly VSR Realtime Renderer)
Autodesk ForceEffect family [136]
Autodesk ForceEffect
Autodesk ForceEffectMotion
Autodesk ForceEffectFlow
Autodesk Spark $^{[137]}$-the 3D Print API in Autodesk Forge was also discontinued.[138]
Print Studio $^{[139]}$-the tool was replaced by Netfabb.[139]
Autodesk Footwear CAM Software (formerly Delcam Crispin $^{[140]}$)[141]
Autodesk Delcam for Solidworks CAM Software
Autodesk Delcam Dentmill CAM Software
Autodesk Delcam Orthomill CAM Software
Autodesk Artcam CAM Software
Autodesk Partmaker CAM Software
Autodesk Inventor Publisher-the product was replaced by the presentation feature of Autodesk Inventor Professional. [142]
Inventor Publisher Viewer
AutoCAD Utility Design [143]
Pixlr for Desktop [144]
Autodesk Showcase [145][146]
Autodesk Real-Time Ray Tracing Cluster
Autodesk Simulation Mechanical [147]
Autodesk Homestyler [148]
Autodesk Within-its functionality was merged into Netfabb. [149][150]
Autodesk ReMake-the product was replaced by ReCap Photo in ReCap Pro. [151]
Autodesk Gameware
Autodesk Scaleform [152]
Autodesk Beast [152]
Autodesk HumanIK [152]
Autodesk Navigation $^{[152]}$ (the successor of Autodesk Kynapse)
Autodesk Population
Autodesk Cognition
Lagoa [153]
Autodesk Stingray $^{[154]}$ (formerly Bitsquid)-the product is now part of 3ds Max as '3ds Max Interactive '.
Autodesk Infrastructure Map Server $^{[155]}$ (formerly Autodesk MapGuide Enterprise Server)
Autodesk Live Viewer $^{[156]}$-The presentation published by Autodesk Live (Revit Live) now comes with internal viewer $^{[156]}$ but its mobile publishing feature was dropped.[157]
Autodesk Flow Design [158]
AutoCAD variants
AutoCAD P&ID $^{[159]}$-the product was replaced by AutoCAD Plant 3D.[159]
AutoCAD Architecture (formerly Autodesk Architectural Desktop)-the product was merged into AutoCAD itself. [160]
AutoCAD Electrical-the product was merged into AutoCAD itself. [161]
AutoCAD Mechanical-the product was merged into AutoCAD itself. [162]
AutoCAD MEP (formerly Autodesk Building Systems)-the product was merged into AutoCAD itself. [163]
AutoCAD Map 3D-the product was merged into AutoCAD itself. [164]
AutoCAD Plant 3D-the product was merged into AutoCAD itself. [165]
AutoCAD Raster Design-the product was merged into AutoCAD itself. [166]
Structural Analysis for Revit $^{[167]}$-the product was replaced by Robot Structural Analysis Professional.
A360 Desktop [168]
Autodesk InfraWorks 360 iPad app [169]
Autodesk MatchMover (formerly RealViz MatchMover)
Autodesk Composite (formerly Autodesk Toxik $^{[170]}$)
BIM 360 Team $^{[171]}$ (formerly A360 Team)
P&ID Modeler for Revit-deprecated to expand the use of the product. [172]
Collaboration for Plant 3D (C4P)-deprecated to expand the use of the product. [172]
Autodesk Revit Extensions [173]
Autodesk TruFiber-the product was merged into TruComposites. [174]
Autodesk TruLaser-the product was merged into TruComposites. [175]
Autodesk TruPlan-the product was merged into TruComposites. [176]
Autodesk Life Sciences' products [92]
Genetic Constructor [177]
Molecule Viewer [178]
Configurator 360 [179]
Alias SpeedForm-its functionality was merged into other Alias products. [180]
Alias Design [180]
Revit Live [181]
Revit Model Review-the product was replaced by Autodesk BIM Interoperability Tools. [182]
Site Designer add-in for Revit [182]
ReCap Pro for mobile [183]
Slicer for Fusion 360 [184]
A360 Drive-the product was replaced by Autodesk Drive. [185]
Autodesk Constructware [186]
Inventor LT [187]
Inventor LT Suite [187]
Dynamo Studio $^{[188]}$-the product was replaced by Dynamo Sandbox.
Autodesk TruComposites [189]
Autodesk TruNest [190]
Autodesk Meshmixer-though it's still available as free, the development was discontinued; $^{[191]}$ its technologies were merged into Fusion 360 and Netfabb. [191][192]
Netfabb Online Service-the product was merged into Fusion 360. [193]
Autodesk 3ds Max Asset Library [194]
Autodesk Smoke-the product was replaced by Flame Assist. [195]
Autodesk Maya LT-the product was replaced by Maya Creative. [196]
Autodesk Screencast [197]
Autodesk EAGLE-the technology was merged into Fusion 360. [198]",not_abbreviation,description,not_entity,not_human,not_location,not_numeric
2435,"Univention GmbH, a Linux integrator, reported $^{[43][44]}$ on May 30, 2003, it was granted an injunction by a Bremen court under German competition law that prohibits the SCO Group's German division from claiming that Linux contains illegally obtained SCO intellectual property. If the SCO Group continued to express this position, they would have to pay a fine of €250,000. A similar injunction was sought around the same time in Poland. [45]",not_abbreviation,not_description,not_entity,not_human,location,numeric
2439,"DO loop extensions, including parameter expressions, negative increments, and zero trip counts
OPEN, CLOSE, and INQUIRE statements for improved I/O capability
Direct-access file I/O
IMPLICIT statement, to override implicit conventions that undeclared variables are INTEGER if their name begins with I, J, K, L, M, or N (and REAL otherwise)
CHARACTER data type, replacing Hollerith strings with vastly expanded facilities for character input and output and processing of character-based data
PARAMETER statement for specifying constants
SAVE statement for persistent local variables
Generic names for intrinsic functions (e.g. SQRT also accepts arguments of other types, such as COMPLEX or REAL*16).
A set of intrinsics (LGE, LGT, LLE, LLT) for lexical comparison of strings, based upon the ASCII collating sequence. (These ASCII functions were demanded by the U.S. Department of Defense, in their conditional approval vote.)",not_abbreviation,description,not_entity,not_human,not_location,not_numeric
2444,"Pei was able to return to hands-on design when he was approached in 1961 by Walter Orr Roberts to design the new Mesa Laboratory for the National Center for Atmospheric Research outside Boulder, Colorado. The project differed from Pei's earlier urban work; it would rest in an open area in the foothills of the Rocky Mountains. He drove with his wife around the region, visiting assorted buildings and surveying the natural environs. He was impressed by the United States Air Force Academy in Colorado Springs, but felt it was 'detached from nature '. [54]",not_abbreviation,description,not_entity,human,location,numeric
2449,"The Economist reported in January 2017 that manufacturing historically created good paying jobs for workers without a college education, particularly for men. The jobs paid well enough so that women did not have to work when they had young children. Unions were strong and owners did not want to risk strikes in their factories due to large capital investments and significant on the job training. Such jobs are much less available in the post-2001 era in the U.S. though they remain available in Germany, Switzerland and Japan, leading to calls to bring those jobs back from overseas, establish protectionism, and reduce immigration. Making it illegal for companies to purchase shares of their own stock has not yet gained traction as a remedy for the diversion of operating profits away from reinvestment in equipment and people. Manufacturing continues to evolve, due to factors such as information technology, supply chain",not_abbreviation,not_description,not_entity,not_human,not_location,not_numeric
2454,"In superconducting materials, the characteristics of superconductivity appear when the temperature T is lowered below a critical temperature T$_{c}$. The value of this critical temperature varies from material to material. Conventional superconductors usually have critical temperatures ranging from around 20 K to less than 1 K. Solid mercury, for example, has a critical temperature of 4.2 K. As of 2015, the highest critical temperature found for a conventional superconductor is 203 K for H$_{2}$S, although high pressures of approximately 90 gigapascals were required. $^{[19]}$ Cuprate superconductors can have much higher critical temperatures: YBa$_{2}$Cu$_{3}$O$_{7}$, one of the first cuprate superconductors to be discovered, has a critical",not_abbreviation,description,not_entity,not_human,not_location,numeric
2464,"Bank and finance
IBM 801 : Proof Machine [26]
IBM 802 : Proof Machine, 24 pockets [4]
IBM 803 : Proof Machine, 32 pockets; 1949 to 1981, a product for 32 years! [4][166]
IBM 1201 : Proof Inscriber. Proofing machine that was also an inscriber [4]
IBM 1202: Utility Inscriber, an electric type-writer, used to inscribe documents with magnetic ink [167]
IBM 1203 : Unit Inscriber (keyoperated, print on checks, etc. with magnetic ink) [6]
IBM 1206: Unit Inscriber (CMC-7 encoder)
IBM 1240: Banking system; 1963
IBM 1241 : Bank Processing Unit [6]
IBM 1260 : Electronic Inscriber (keyoperated for proving deposits, sorting and listing of checks) [6]
IBM 1420: High-speed Bank Transit System; 1962
IBM 1450: Data Processing System for small banks; 1968
IBM 2730: Transaction validation terminal; 1971
IBM 2984: Cash dispensing terminal; 1972
IBM 3600: Finance Communication System; 1973
IBM 3601: Branch Controller
IBM 3602: Branch Controller
IBM 3604: Teller Terminal (Keyboard/Magnetic Swipe/Display/Optional PINpad)
IBM 3606: Teller Terminal (Keyboard/Magnetic Swipe/Display)
IBM 3608: Printer with Keyboard and Display
IBM 3609: Printer
IBM 3610: Document Printer
IBM 3611: Passbook Printer
IBM 3612: Document/Passbook Printer
IBM 3613: Journal Printer
IBM 3614: Automatic teller machine (ATM aka CTF); 1973
IBM 3615: Administrative Printer
IBM 3616: Journal Printer
IBM 3618: Administrative Line Printer (155 lpm, first IBM band printer)
IBM 3619: Line Printer ('Australian' administrative printer version)
IBM 3620: Magnetic Stripe Reader Encoder and Journal/Document Printer
IBM 3621: Statement Printer with Magnetic Stripe Reader and optional Keyboard/PINpad
IBM 3624: Through-the-wall ATM; 1979
IBM 3670: Brokerage communications system; 1971
IBM 3895: Deposit processing system; 1978
IBM 4700: Branch Banking Equipment; 1981
IBM 4701: Branch Controller (8 ' floppy disc)
IBM 4702: Branch Controller (5¼ ' HD floppy disc; hard disc)
IBM 4704: Teller Terminal (Keyboard/Magnetic Swipe/Display/Optional PINpad)
IBM 4710: Journal/Cutform Printer
IBM 4712: Journal/Cutform Printer
IBM 4713: Verification Printer
IBM 4715: Printer
IBM 4720: Cutform/Passbook Printer
IBM 4722: Passbook Printer
IBM 4723: Document Processor
IBM 4730: Counter-style Personal Banking Machine (PBM); 1983
IBM 4731: In-lobby PBM; 1983
IBM 4732: In-lobby PBM; 1987
IBM 4736: Cash-only PBM
IBM 4737: Self-service transaction station
IBM 4781: Table Top ATM; 1991 (re-badged Diebold 1060)
IBM 4782: In-lobby ATM; 1991 (re-badged Diebold 1062)
IBM 4783: Cash-only ATM; 1991 (re-badged Diebold 1064)
IBM 4785: Exterior ATM; 1991 (re-badged Diebold 1072)
IBM 4786: Exterior Cash-only ATM; 1991 (re-badged Diebold 1071)
IBM 4787: Exterior Drive-up ATM; 1991 (re-badged Diebold 1073)
IBM 4788: Exterior Self-standing Cash-only ATM; 1991 (re-badged Diebold 1074)
IBM 4789: Cash-only ATM; 1991 (re-badged Diebold 1063)
IBM 5922: Low-speed magnetic ink character recognition (MICR) Reader
IBM 5995: Branch Controller",not_abbreviation,not_description,entity,not_human,not_location,not_numeric
2469,"|--------------|---------------------------------------|
| Type         | Subsidiary                            |
| Industry     | Hosting                               |
| Founded      | 2005                                  |
| Founder      | Lance Crosby                          |
| Headquarters | Dallas, Texas, USA                    |
| Products     | Dedicated Hosting, Managed Services   |
| Parent       | IBM (since 2013)                      |
| Website      | softlayer.com (htt p://softlayer.com) |",not_abbreviation,description,entity,not_human,location,not_numeric
2474,"programming, which is not generally dictated by the project management methodology (such as waterfall or agile). Paradigms differ in the concepts and abstractions used to represent the elements of a program (such as objects, functions, variables, constraints) and the steps that comprise a computation (such as assignations, evaluation, continuations, data flows). Sometimes the concepts asserted by the paradigm are utilized cooperatively in high-level system architecture design; in other cases, the programming paradigm's scope is limited to the internal structure of a particular program or module. Example: Grady Booch's object-oriented design (OOD), also known as object-oriented analysis and design (OOAD). The Booch model includes six diagrams: class, object, state transition, interaction, module, and process. [13]",abbreviation,not_description,not_entity,not_human,not_location,numeric
2478,"Notes
1. https://money.cnn.com/news/newsfeeds/articles/marketwire/0293959.htm
2. 'IBM Research | IBM Research | virtualworlds | IBM Virtual World Guidelines ' (https://archive.toda y/20071011104026/http://domino.research.ibm.com/comm/research_projects.nsf/pages/virtualworl ds.IBMVirtualWorldGuidelines.html). Archived from the original (http://domino.research.ibm.com/c omm/research_projects.nsf/pages/virtualworlds.IBMVirtualWorldGuidelines.html) on 2007-10-11. Retrieved 2007-09-17.
3. Gamasutra-IBM Integrates Cell Into Mainframes For Virtual Worlds (http://www.gamasutra.com/p hp-bin/news_index.php?story=13685)
4. 'IBM Innovation Jam « NMC Virtual Worlds ' (https://web.archive.org/web/20070906143041/http:// virtualworlds.nmc.org/portfolio/ibm-innovation-jam/). Archived from the original (http://virtualworlds. nmc.org/portfolio/ibm-innovation-jam/) on 2007-09-06. Retrieved 2007-09-17.
5. IBM's chief steps into 'Second Life' for incubator launch | CNET News.com (http://www.news.com/I BMs+chief+steps+into+Second+Life+for+incubator+launch/2100-1014_3-6135109.html)
6. IBM to give birth to 'Second Life' business group | CNET News.com (http://www.news.com/IBM+to +give+birth+to+Second+Life+business+group/2100-1014_3-6143175.html)",not_abbreviation,not_description,not_entity,not_human,not_location,not_numeric
2483,"In Rio de Janeiro, buses are the main form of public transportation. There are nearly 440 municipal bus lines serving over four million passengers every day, in addition to intercity lines. Although cheap and frequent, Rio's transportation policy has been moving towards trains and subway in order to reduce surface congestion and increase carrier capacity. Rio's public transportation service has been a target of many critics and the motive of the 2013's protests and manifestations that started in São Paulo and spread through the entire country. According to the people, the raise in the bus and subway fares are invalid, seeing that the amount charged is too high for the low quality of the services.",not_abbreviation,description,not_entity,not_human,location,numeric
2488,"On February 22, 2010, U.S. District Court Judge Terry Wooten ruled that evidence in the Horry Land suit showed the plaintiffs were entitled to a trial. $^{[12]}$ On February 23, 2011, the trial began in Florence, South Carolina. $^{[13]}$ In May 2011, Wooten ruled that AVX caused the pollution, and county property records show that AVX purchased 21.5 acres of contaminated land for $4.6 million. [14][15]",not_abbreviation,not_description,not_entity,human,location,numeric
2493,"in Tamil Nadu. [34] Veera Ballala III had appointed a civic head at Hudi (now within Bangalore Municipal Corporation limits), thus promoting the village to the status of a town. After Veera Ballala III's death in 1343, the next empire to rule the region was the Vijayanagara Empire, which itself saw the rise of four dynasties, the Sangamas (1336-1485), the Saluvas (1485-1491), the Tuluvas (1491-1565), and the Aravidu (1565-1646). [38] During the reign of the Vijayanagara Empire, Achyuta Deva Raya of the Tuluva dynasty raised the Shivasamudra Dam across the Arkavati river at Hesaraghatta, whose reservoir is the present city's supply of regular piped water. [39]",not_abbreviation,description,not_entity,not_human,location,numeric
2494,"The term LBO is usually employed when a financial sponsor acquires a company. However, many corporate transactions are partially funded by bank debt, thus effectively also representing an LBO. LBOs can have many different forms such as management buyout (MBO), management buy-in (MBI), secondary buyout and tertiary buyout, among others, and can occur in growth situations, restructuring situations, and insolvencies. LBOs mostly occur in private companies, but can also be employed with public companies (in a so-called PtP transaction-public-to-private).",abbreviation,description,not_entity,not_human,not_location,not_numeric
2499,"Pei's design placed the rigid shoebox at an angle to the surrounding street grid, connected at the north end to a long rectangular office building, and cut through the middle with an assortment of circles and cones. The design attempted to reproduce with modern features the acoustic and visual functions of traditional elements like filigree. The project was risky: its goals were ambitious and any unforeseen acoustic flaws would be virtually impossible to remedy after the hall's completion. Pei admitted that he did not completely know how everything would come together. 'I can imagine only 60 percent of the space in this building, ' he said during the early stages. 'The rest will be as surprising to me as to everyone else. ' [134] As the project developed, costs rose steadily and some sponsors considered withdrawing their support. Billionaire tycoon Ross Perot made a donation of US$10 million, on the condition that it be named in honor of Morton H. Meyerson, the longtime patron of the arts in Dallas. [135]",not_abbreviation,description,not_entity,human,location,numeric
2504,"|-----------------------|---------------------------------------------------------------------------------------------------------------------------------------|
| Type                  | Subsidiary                                                                                                                            |
| Industry Founded      | Human Resource. 1987                                                                                                                  |
| Founder               | Nooruddin S. Karsan, Co- Founder, Rhea Varghese, Co-                                                                                  |
|                       | Founder, Chairman of the Board and Chief Executive Officer Wayne, Pennsylvania, United States Talent Acquisition, Talent Development, |
| Headquarters Products |                                                                                                                                       |
|                       | CRM, Brassring, Employee Assessments, Talent Frameworks, Watson Talent,                                                               |
| Parent                |                                                                                                                                       |
|                       | IBM www.ibm.com                                                                                                                       |
| Website               | /talent- management/ (http                                                                                                            |",not_abbreviation,not_description,entity,human,not_location,not_numeric
2509,"Notable events
On July 26, 2010, NXP announced that it had acquired Jennic based in Sheffield, UK, $^{[37]}$ which now operates as part of its smart home and energy product line, using Zigbee and JenNet-IP.
On August 6, 2010, NXP announced its initial public offering at Nasdaq, with 34 million shares, pricing each $14. [38]
In December 2010, NXP announced that it would sell its Sound Solutions business to Knowles Electronics, part of Dover Corporation, for $855 million in cash. $^{[39]}$ The acquisition was completed as of July 5, 2011. [40]
In April 2012, NXP announced its intent to acquire electronic design consultancy Catena to work on automotive applications. [41]
In July 2012, NXP sold its high-speed data converter assets to Integrated Device Technology. [42]
In 2012, revenue for NXP's Identification business unit was $986 million, up 41% from 2011, in part due to growing sales of NFC chips and secure elements. [43]
On January 4, 2013, NXP and Cisco announced their investment in Cohda Wireless, an Australian company focused on car-to-car and car-to-infrastructure communications. [44]
In January 2013, NXP announced 700-900 redundancies worldwide in an effort to cut costs related to 'support services '. [45]
In May 2013, NXP announced that it acquired Code Red Technologies, a provider of embedded software development such as the LPCXpresso IDE and Red Suite. [46]
In July 2014, NXP was reported to have sacked union organizers. $^{[47]}$ A campaign was started for their reinstatement. [48]
In August 2015, a joint-venture with the Beijing JianGuang Asset Management Co. Ltd. was registered in Shanghai, China under the name WeEn Semiconductors. [49]",not_abbreviation,description,not_entity,not_human,location,numeric
2514,"Parallel there was quite often a tournament IBM-B, always with (future or former) strong grandmasters-and local Dutch players to play against foreign titleholders, apart from the major 'A ' section. By 1963, there were 120 participants in the IBM Amsterdam tournament, broken down to grandmaster group, master group, reserve master group, etc. It was a real festival, connected with the idea to promote (chess) programming by sponsor IBM.",not_abbreviation,not_description,not_entity,not_human,location,numeric
2524,"around the green expanse reveals species like Psilotum nudum, better known as skeleton fork fern. Considered a 'primitive ' plant-a descendant of possibly the first group of vascular plants from 400 million years ago-that was widespread during the Devonian and Silurian periods-its name means 'bare naked ' in Latin as it lacks most of the organs found in plants species that evolved later. [62][63]",not_abbreviation,description,entity,not_human,not_location,numeric
2533,"CGA used the same scan rate as NTSC television, allowing it to provide a composite video output which could be used with any compatible television or composite monitor, as well as a directdrive TTL output suitable for use with any RGBI monitor using an NTSC scan rate. IBM also sold the 5153 color monitor for this purpose, but it was not available at release $^{[54]}$ and was not released until March 1983.[55]",not_abbreviation,description,not_entity,not_human,not_location,numeric
2538,"Finally the project moved to Columbia Point, near the University of Massachusetts Boston. The new site was less than ideal; it was located on an old landfill, and just over a large sewage pipe. Pei's architectural team added more fill to cover the pipe and developed an elaborate ventilation system to conquer the odor. A new design was unveiled, combining a large square glass-enclosed atrium with a triangular tower and a circular walkway. [69]",not_abbreviation,description,not_entity,not_human,location,numeric
2543,"Six years after its previous high in 2007, the Dow finally closed at a new record high on March 5, 2013. $^{[61]}$ It continued rising for the next several years past 17,000 points until a brief 2015-16 stock market selloff in the second half of 2015. [62] It then picked up again early 2016 and climbed past 25,000 points on January 4, 2018. [63]",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
2548,"By early 1984, Commodore was the most successful home computer company, with more than $1 billion in annual revenue and $100 million in net income, whilst competitors had large losses. The company's revenue of $425 million in the fourth calendar quarter of 1983 more than doubled its revenue of $176 million a year earlier. $^{[26]}$ Although Creative Computing compared the company to 'a wellarmed battleship [which] rules the micro waves ' and threatened to destroy rivals like Atari and Coleco, [27] Commodore's board of directors, affected by the price spiral, decided to exit the company. In January 1984, an internal power struggle",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
2553,"Software written in other programming languages can also be run within the web browser if the software is either translated into JavaScript, or if a web browser plugin that supports that language is installed; the most common example of the latter is ActionScript scripts, which are supported by the Adobe Flash plugin.
Server software, including:
Web applications, which usually run on the web server and output dynamically generated web pages to web browsers, using e.g. PHP, Java, ASP.NET, or even JavaScript that runs on the server. In modern times these commonly include some JavaScript to be run in the web browser as well, in which case they typically run partly on the server, partly in the web browser.
Plugins and extensions are software that extends or modifies the functionality of another piece of software, and require that software be used in order to function. [15]
Embedded software resides as firmware within embedded systems, devices dedicated to a single use or a few uses such as cars and televisions (although some embedded devices such as wireless chipsets can themselves be part of an ordinary, non-embedded computer system such as a PC or smartphone). $^{[16]}$ In the embedded system context there is sometimes no clear distinction between the system software and the application software. However, some embedded systems run embedded operating systems, and these systems do retain the distinction between system software and application software (although typically there will only be one, fixed application which is always run).
Microcode is a special, relatively obscure type of embedded software which tells the processor itself how to execute machine code, so it is actually a lower level than machine code. It is typically proprietary to the processor manufacturer, and any necessary correctional microcode software updates are supplied by them to users (which is much cheaper than shipping replacement processor hardware). Thus an ordinary programmer would not expect to ever have to deal with it.",not_abbreviation,description,not_entity,not_human,not_location,numeric
2558,"The State Department provides lists of ambassadors that are updated periodically; the most recent listing (h ttps://www.state.gov/wp-content/uploads/2021/11/2021-11-01-Ambassador-Assignments-Overseas-Report.pdf) was published November 1, 2021. [3][4] A listing by country of past chiefs of mission is maintained by the Office of the Historian of the U.S. Department of State, $^{[5]}$ along with the names and appointment dates of past and present ambassadors-at-large [6] and mission to international organizations. [7]",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
2566,"|--------------|----------------------------------------------|
| Born         | 14 September 1918 Stuttgart, Germany         |
| Died         | 20 October 2009 (aged 91) Stuttgart, Germany |
| Allegiance   | Nazi Germany                                 |
| Service/     | Luftwaffe                                    |
| branch Rank  | Oberleutnant                                 |
| Unit         | Jagdgeschwader 433                           |
|              | I/JG 52 World War II Battle of Britain       |
| Battles/wars | Battle of France                             |
| Other work   | IBM salesman                                 |",not_abbreviation,not_description,entity,human,location,numeric
2572,"Nations without exchange of ambassadors
Bhutan: According to the U.S. State Department, 'The United States and the Kingdom of Bhutan have not established formal diplomatic relations; however, the two governments have informal and cordial relations. ' $^{[86]}$ Informal contact with the nation of Bhutan is maintained through the U.S. Embassy in New Delhi. [86]
Iran: On April 7, 1980, the United States broke diplomatic relations with Iran after the 1979 Iranian Revolution. $^{[87]}$ On April 24, 1981, the Swiss government assumed representation of U.S. interests in Tehran, and Algeria assumed representation of Iranian interests in the United States. [88] Currently, Iranian interests in the United States are represented by the government of Pakistan. The U.S. Department of State named Iran a ' State Sponsor of Terrorism ' on January 19, 1984. [89]
North Korea: The Democratic People's Republic of Korea is not on friendly terms with the United States, and while talks between the two countries are ongoing, there is no exchange of ambassadors. Sweden functions as Protective Power for the United States in Pyongyang and performs limited consular responsibilities for U.S. citizens in North Korea. [90]
Taiwan: With the normalization of relations with the People's Republic of China in 1979, the United States has not maintained official diplomatic relations with Taiwan. Relations between Taiwan and the United States are maintained through an unofficial instrumentality, the Taipei Economic and Cultural Representative Office, with headquarters in Taipei and field offices in Washington, D.C., and twelve other U.S. cities. The Taipei Office of the American Institute in Taiwan, a non-profit, public corporation, functions as a de facto embassy, performing most consular functions and staffed by Foreign Service Officers who are formally 'on leave '. [91]",not_abbreviation,description,entity,not_human,location,numeric
2573,"January 2012, LSI completed the acquisition of SandForce, which produced flash memory controllers (for $370 million reported in October 2011). [46] LSI started producing its own PCIe cards for data center servers, using SandForce's flash controller chips, under their new Nytro product line that April. [46][47][48] This included three different products: LSI Nytro WarpDrive Application Acceleration Cards, LSI Nytro XD Application Acceleration Storage Solution, and LSI Nytro MegaRAID Application Acceleration Cards. [47][49][50]",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
